;names;n;n_insee;ratio;
6534;george;73710;2209;33.36803983703033;
4681;donald;56763;1132;50.14399293286219;
18807;vladimir;41427;2626;15.775704493526275;
2760;bill;34763;131;265.36641221374043;
2456;barack;32165;34;946.0294117647059;
16209;saddam;29544;40;738.6;
18605;valéry;22808;559;40.80143112701252;
17140;silvio;15838;1468;10.788828337874659;
11430;mahmoud;15643;1286;12.16407465007776;
13407;mozart;15120;42;360.0;x
10766;lord;13187;25;527.48;x
7512;helmut;13101;384;34.1171875;
7666;hillary;12898;332;38.84939759036145;
6050;fidel;12123;181;66.97790055248619;
6577;gerhard;11648;174;66.94252873563218;
2362;bachar;10173;46;221.15217391304347;
266;abou;10095;780;12.942307692307692;
16766;sergueï;10031;40;250.775;
2636;benyamin;8857;99;89.46464646464646;
13014;mikhaïl;8691;50;173.82;
17247;slobodan;8554;110;77.76363636363637;
9954;klaus;8359;252;33.17063492063492;
18320;tito;8303;292;28.434931506849313;x
9969;kofi;8087;23;351.60869565217394;
11095;lula;8043;193;41.67357512953368;x
18850;wagner;7897;29;272.3103448275862;
1725;arafat;7641;99;77.18181818181819;
6815;gordon;7361;466;15.796137339055795;
14241;nixon;7253;57;127.24561403508773;
19025;wolfgang;7087;650;10.903076923076924;
14129;nick;7075;229;30.895196506550217;
15607;recep;6445;289;22.301038062283737;
6105;flaubert;6424;32;200.75;x
5465;ernst;6175;77;80.1948051948052;
15549;raul;6128;334;18.347305389221557;
7611;hermès;6110;71;86.05633802816901;x
9040;johnson;6059;204;29.70098039215686;x
1264;andreï;5711;59;96.79661016949153;
4440;dick;5646;31;182.1290322580645;
4643;dmitri;5522;36;153.38888888888889;
16122;rupert;5454;105;51.94285714285714;
15939;romano;5376;395;13.61012658227848;
19681;zola;5294;496;10.673387096774194;x
6717;giorgio;5287;466;11.34549356223176;
15356;racine;5272;81;65.08641975308642;x
11781;marcos;5237;472;11.095338983050848;
3740;claudel;5067;84;60.32142857142857;x
7774;howard;5039;197;25.578680203045685;
11;abbas;5012;239;20.97071129707113;
7737;hosni;5003;266;18.80827067669173;
3537;chen;4993;49;101.89795918367346;
10104;lady;4901;130;37.7;x
17005;shimon;4766;64;74.46875;
3204;carter;4757;44;108.11363636363636;
9100;josef;4748;332;14.301204819277109;
19028;woody;4742;143;33.16083916083916;
765;alexeï;4418;48;92.04166666666667;
217;abdul;4297;370;11.613513513513514;
8397;jair;4168;40;104.2;
2472;barry;4156;142;29.267605633802816;
13038;miles;4147;199;20.839195979899497;
15023;phil;4103;47;87.29787234042553;
18549;vaclav;3972;38;104.52631578947368;
2677;bernie;3965;46;86.19565217391305;
6844;graham;3924;121;32.429752066115704;
7247;hamlet;3867;29;133.3448275862069;x
12014;marie-george;3859;251;15.374501992031872;
8113;iouri;3840;61;62.950819672131146;
9674;keith;3828;263;14.55513307984791;
10205;lars;3719;129;28.829457364341085;
1799;aristote;3695;211;17.511848341232227;
9323;jürgen;3640;34;107.05882352941177;
402;adolf;3605;56;64.375;
11087;luiz;3521;258;13.647286821705427;
10436;leonid;3503;109;32.137614678899084;
6429;gandhi;3503;25;140.12;
4455;dieudonné;3485;39;89.35897435897436;x
2816;bobby;3471;178;19.5;
7341;harvey;3410;152;22.43421052631579;
15766;richelieu;3339;63;53.0;x
5633;evgueni;3295;26;126.73076923076923;
15775;rick;3232;207;15.61352657004831;
15965;ronaldo;3224;306;10.5359477124183;x
1212;anatoli;3194;20;159.7;
5417;erhard;3185;35;91.0;
7472;heinrich;3129;157;19.929936305732483;
6533;georg;3120;43;72.55813953488372;
14104;neymar;3057;75;40.76;
12946;michelet;3028;26;116.46153846153847;
15406;rafic;2972;40;74.3;
13568;nadal;2941;22;133.6818181818182;x
14519;olaf;2924;160;18.275;
6978;gustavo;2906;236;12.313559322033898;
6338;friedrich;2897;156;18.57051282051282;
6201;foucault;2896;134;21.611940298507463;
3632;christoph;2887;166;17.39156626506024;
14161;nigel;2886;122;23.65573770491803;
7135;hafez;2881;69;41.7536231884058;
14524;oleg;2867;213;13.460093896713616;
4508;dior;2839;173;16.410404624277458;x
15375;radovan;2828;31;91.2258064516129;
3784;clint;2820;95;29.68421052631579;
14647;orson;2793;112;24.9375;
14114;nguyen;2789;174;16.028735632183906;
4898;edmund;2781;92;30.22826086956522;
7782;hugh;2752;81;33.97530864197531;
3349;chadli;2699;74;36.472972972972975;
7404;haydn;2685;21;127.85714285714286;x
17613;stuart;2670;184;14.51086956521739;
6561;gerald;2660;25;106.4;
11321;madonna;2653;43;61.69767441860465;
6442;garcia;2647;38;69.65789473684211;
15208;pina;2638;134;19.686567164179106;
4215;darwin;2633;139;18.942446043165468;x
13071;milton;2630;105;25.047619047619047;
15212;piotr;2621;191;13.722513089005236;
7321;harlem;2596;81;32.04938271604938;
8854;jens;2592;89;29.123595505617978;
11767;marcelo;2552;235;10.859574468085107;
15883;rodin;2538;52;48.80769230769231;
19004;winston;2528;142;17.802816901408452;
6976;gustav;2522;110;22.927272727272726;
16125;russell;2499;120;20.825;
12413;massoud;2493;60;41.55;
12299;marshall;2489;69;36.072463768115945;
3327;cesare;2451;153;16.019607843137255;
1233;anders;2432;81;30.02469135802469;
6509;gene;2430;39;62.30769230769231;
13144;miro;2384;30;79.46666666666667;
13345;moubarak;2348;31;75.74193548387096;x
12945;michele;2345;60;39.083333333333336;
14379;novak;2339;164;14.262195121951219;
16211;sade;2325;92;25.27173913043478;
2620;benny;2321;126;18.42063492063492;
14644;orphée;2319;163;14.226993865030675;
18671;verlaine;2313;56;41.30357142857143;x
3984;cyrano;2265;92;24.619565217391305;x
3930;craig;2262;187;12.096256684491978;
6653;gianfranco;2257;89;25.359550561797754;
6593;gerry;2252;170;13.24705882352941;
11628;mandela;2237;35;63.91428571428571;x
17262;smith;2234;82;27.24390243902439;
17598;stevenson;2215;117;18.931623931623932;
6908;guichard;2206;22;100.27272727272727;
13011;mikhail;2191;177;12.378531073446327;
11266;macky;2181;57;38.26315789473684;
13331;moshe;2167;162;13.376543209876543;
1278;andrzej;2163;29;74.58620689655173;
16345;saleh;2162;112;19.303571428571427;
7800;humphrey;2154;71;30.338028169014084;
9114;josep;2152;20;107.6;
9098;jose;2139;159;13.452830188679245;
15443;rainer;2118;72;29.416666666666668;
18334;todd;2101;87;24.149425287356323;x
12877;messi;2089;190;10.994736842105263;
7239;hamilton;2078;125;16.624;
14183;nikolaï;2063;24;85.95833333333333;
3272;cecil;2062;206;10.009708737864077;
4451;dieter;2045;198;10.328282828282829;
9838;khan;2045;35;58.42857142857143;
1631;antigone;2029;38;53.39473684210526;
19655;zinédine;2004;78;25.692307692307693;
18867;waldeck;2001;74;27.04054054054054;
13438;murray;1965;21;93.57142857142857;X
2531;bayard;1961;61;32.14754098360656;
7589;hercule;1936;89;21.752808988764045;
14840;parker;1924;31;62.064516129032256;x
15202;pieter;1915;88;21.761363636363637;
14368;nouri;1884;184;10.23913043478261;
17605;stewart;1867;82;22.76829268292683;
15596;raïs;1839;106;17.349056603773583;x
2675;bernhard;1741;146;11.924657534246576;
10970;loïk;1736;137;12.671532846715328;
1896;arthaud;1722;59;29.1864406779661;
1703;apollon;1690;154;10.974025974025974;
18408;tran;1688;112;15.071428571428571;
16047;ross;1683;85;19.8;
4927;edwy;1656;29;57.10344827586207;
14101;newton;1654;70;23.62857142857143;x
10605;lincoln;1650;83;19.879518072289155;x
8070;ingmar;1644;30;54.8;
1914;artémis;1612;69;23.36231884057971;
7311;hardy;1611;30;53.7;x
6195;foster;1595;22;72.5;
12524;mauricio;1594;153;10.418300653594772;
13079;mimi;1577;130;12.13076923076923;
12790;melville;1569;61;25.721311475409838;
11152;lyndon;1566;23;68.08695652173913;
18817;volker;1557;60;25.95;
6730;giraud;1548;42;36.857142857142854;
14878;patty;1540;153;10.065359477124183;x
4884;edison;1532;140;10.942857142857143;x
2412;baker;1527;25;61.08;
3824;cohen;1526;25;61.04;
2652;beria;1524;20;76.2;x
8038;imre;1521;48;31.6875;
9956;klein;1513;31;48.806451612903224;
19122;yang;1508;40;37.7;
10465;lester;1504;80;18.8;
8496;janos;1480;45;32.888888888888886;
18925;wendel;1467;96;15.28125;
16302;saint-just;1467;92;15.945652173913043;x
11722;marat;1458;70;20.82857142857143;x
19480;zacarias;1454;26;55.92307692307692;
8141;irving;1436;111;12.936936936936936;
13320;morris;1421;35;40.6;
6266;frans;1403;105;13.361904761904762;
8519;jaroslaw;1398;65;21.50769230769231;
9551;kassem;1397;114;12.25438596491228;
4513;dirk;1379;67;20.582089552238806;
18780;vitali;1375;130;10.576923076923077;
3040;caetano;1321;65;20.323076923076922;
9940;kirk;1318;47;28.04255319148936;
13170;mitchell;1313;63;20.841269841269842;
16308;saint-paul;1313;27;48.629629629629626;
2674;bernd;1311;68;19.279411764705884;
18912;watson;1307;51;25.627450980392158;
15896;rodriguez;1300;32;40.625;
12473;mats;1296;119;10.890756302521009;
9059;jones;1288;46;28.0;
19049;xavière;1285;79;16.265822784810126;
5565;eugene;1281;90;14.233333333333333;
18322;titus;1280;89;14.382022471910112;
17973;tarzan;1280;33;38.78787878787879;x
11038;lucrèce;1270;90;14.11111111111111;
7438;haïlé;1269;93;13.64516129032258;
2942;brett;1253;120;10.441666666666666;
2105;august;1224;101;12.118811881188119;
13168;mitch;1223;73;16.753424657534246;
14158;nielsen;1220;47;25.95744680851064;
3786;clive;1212;74;16.37837837837838;
5384;enver;1209;109;11.091743119266056;
11372;magnus;1208;54;22.37037037037037;
15784;ridley;1198;50;23.96;
6566;gerard;1182;46;25.695652173913043;
12266;marlene;1181;73;16.17808219178082;
15013;pham;1180;24;49.166666666666664;
16896;shamir;1179;41;28.75609756097561;
6846;grant;1175;39;30.128205128205128;
3557;chico;1157;37;31.27027027027027;
2513;batista;1156;44;26.272727272727273;
15068;pier;1147;113;10.150442477876107;
8405;jakob;1146;85;13.48235294117647;
2794;blake;1143;38;30.07894736842105;
6873;grigori;1141;42;27.166666666666668;
15456;rajiv;1138;75;15.173333333333334;
14877;patti;1136;33;34.42424242424242;
1748;archie;1133;38;29.81578947368421;
2473;bart;1122;63;17.80952380952381;
18875;walker;1119;33;33.90909090909091;
16077;royan;1116;25;44.64;
6445;gareth;1113;74;15.04054054054054;
15071;pierce;1112;30;37.06666666666667;
7439;haïm;1110;58;19.137931034482758;
14137;nicolae;1085;56;19.375;
9939;kirill;1083;60;18.05;
16765;serguei;1073;101;10.623762376237623;
4366;desmond;1073;66;16.257575757575758;
14981;percy;1068;41;26.048780487804876;
3866;cooper;1060;39;27.17948717948718;
10052;krzysztof;1051;32;32.84375;
2170;avigdor;1039;35;29.685714285714287;
19364;youssou;1037;38;27.289473684210527;
15005;petro;1036;27;38.370370370370374;
2427;baltasar;1033;21;49.19047619047619;
6624;ghazi;1031;84;12.273809523809524;
4302;delon;1028;21;48.95238095238095;
18189;thor;1022;34;30.058823529411764;
16704;selwyn;1012;21;48.19047619047619;
1076;amedy;1009;65;15.523076923076923;
18050;teng;1007;34;29.61764705882353;
6286;françois-henri;1003;74;13.554054054054054;
9378;kaiser;1002;30;33.4;x
17091;sigmund;1001;82;12.207317073170731;
2947;briand;1000;42;23.80952380952381;
4453;dietrich;994;74;13.432432432432432;
13332;moshé;991;53;18.69811320754717;
13996;neguib;972;54;18.0;
2791;björn;971;63;15.412698412698413;
817;alija;953;20;47.65;
14974;pepe;952;58;16.413793103448278;
4837;earl;949;47;20.19148936170213;x
12944;michelangelo;938;70;13.4;
11098;lulu;937;24;39.041666666666664;
16511;saoud;935;29;32.241379310344826;
7297;hannibal;934;37;25.243243243243242;
14186;nikos;931;68;13.691176470588236;
10764;lorca;922;30;30.733333333333334;
9432;kamala;919;30;30.633333333333333;
12585;mayer;914;50;18.28;
7213;hamad;913;70;13.042857142857143;
15820;rishi;912;60;15.2;
15502;ramzan;912;21;43.42857142857143;
3205;cary;911;27;33.74074074074074;
9044;joinville;904;23;39.30434782608695;
6019;fernandez;893;21;42.523809523809526;
18577;valeri;876;87;10.068965517241379;
9962;kléber;871;84;10.369047619047619;
2918;bram;866;31;27.93548387096774;
13118;mircea;859;27;31.814814814814813;
2716;beth;854;38;22.473684210526315;
7904;iggy;836;40;20.9;
1661;antonis;832;20;41.6;
8259;istvan;828;82;10.097560975609756;
7334;harriet;817;75;10.893333333333333;
3185;carnot;814;25;32.56;
7132;hadès;813;25;32.52;
16601;sayed;812;74;10.972972972972974;
19022;wojciech;811;35;23.17142857142857;
3627;christo;809;38;21.289473684210527;
16566;satie;808;28;28.857142857142858;
2432;balthus;801;23;34.82608695652174;
10354;lebron;798;20;39.9;
6102;fitzgerald;791;54;14.648148148148149;
2694;bertie;790;61;12.950819672131148;
17877;takeshi;780;22;35.45454545454545;
17019;shlomo;775;34;22.794117647058822;
6620;ghassan;773;69;11.202898550724637;
3017;béchir;772;31;24.903225806451612;
16962;sheikh;771;24;32.125;
6581;german;769;68;11.308823529411764;
8326;jacek;766;22;34.81818181818182;
4942;egor;765;26;29.423076923076923;
5966;fela;763;29;26.310344827586206;
3753;claus;761;71;10.71830985915493;
11388;mahamat;753;67;11.238805970149254;
3003;buddy;753;31;24.29032258064516;
3552;chester;752;34;22.11764705882353;
3650;chun;750;60;12.5;
10206;larsen;749;29;25.82758620689655;
2470;barney;743;31;23.967741935483872;
1299;andrés;740;71;10.422535211267606;
3271;caïn;740;22;33.63636363636363;
13250;momo;739;25;29.56;
18835;wade;738;30;24.6;
7612;hernan;736;35;21.02857142857143;
3390;chamil;735;33;22.272727272727273;
2055;athos;733;25;29.32;
16760;sergi;728;28;26.0;
18672;vernon;727;51;14.254901960784315;
18519;ulrike;721;38;18.973684210526315;
6513;gengis;719;32;22.46875;
14797;paddy;717;30;23.9;
16463;sandor;715;70;10.214285714285714;
1858;arne;712;30;23.733333333333334;
9576;katharine;709;50;14.18;
8254;issey;704;49;14.36734693877551;
1254;andrej;702;42;16.714285714285715;
12857;mervyn;701;70;10.014285714285714;
19204;yaïr;701;43;16.302325581395348;
13541;nabih;700;65;10.76923076923077;
3844;conan;699;45;15.533333333333333;
12872;messali;692;30;23.066666666666666;
15217;placido;690;45;15.333333333333334;
10140;lakshmi;690;45;15.333333333333334;
16116;rufus;688;37;18.594594594594593;
18425;trisha;685;43;15.930232558139535;
19053;xiao;683;34;20.08823529411765;
583;akbar;681;27;25.22222222222222;
1960;asif;680;37;18.37837837837838;
6572;gerd;679;46;14.76086956521739;
1762;aretha;679;21;32.333333333333336;
4816;dwight;677;57;11.87719298245614;
8518;jaroslav;676;33;20.484848484848484;
10184;lange;674;32;21.0625;
15729;reynaud;671;59;11.372881355932204;x
14292;nono;669;31;21.580645161290324;
1814;arletty;662;42;15.761904761904763;
10826;lotte;661;41;16.121951219512194;
13629;naftali;656;25;26.24;
6002;ferenc;653;31;21.06451612903226;
8537;jauffret;652;46;14.173913043478262;
2612;benigno;649;32;20.28125;
17210;sisley;645;34;18.970588235294116;
2667;bernard-marie;645;33;19.545454545454547;
14329;norton;643;56;11.482142857142858;
3214;caspar;643;53;12.132075471698114;
16065;rouslan;643;28;22.964285714285715;
3755;clay;638;61;10.459016393442623;
10877;louis-ferdinand;634;53;11.962264150943396;
8867;jeroen;627;38;16.5;
1001;amadeus;622;61;10.19672131147541;
18056;teodoro;622;45;13.822222222222223;
10033;kristin;621;43;14.44186046511628;
10430;leone;620;61;10.163934426229508;
18406;traian;617;32;19.28125;
7347;hashim;612;56;10.928571428571429;
3713;clare;611;38;16.07894736842105;
7855;iain;609;25;24.36;
17976;taslima;605;58;10.431034482758621;
16332;saladin;604;33;18.303030303030305;
11263;mack;602;28;21.5;
9546;kaspar;602;21;28.666666666666668;
6664;gibson;601;57;10.543859649122806;
10466;leszek;599;57;10.508771929824562;
6054;fidelio;597;24;24.875;
2164;avicenne;594;23;25.82608695652174;x
8989;jochen;582;22;26.454545454545453;
10706;lluis;581;50;11.62;
16309;saint-pierre;581;42;13.833333333333334;x
1756;aref;574;36;15.944444444444445;
9477;kanye;568;39;14.564102564102564;
18450;tudor;561;51;11.0;
4881;edinson;561;50;11.22;
7802;hunter;561;39;14.384615384615385;
1698;aphrodite;558;28;19.928571428571427;
647;alastair;556;36;15.444444444444445;
16830;seymour;555;48;11.5625;
16120;ruiz;554;52;10.653846153846153;
5680;ezzedine;552;46;12.0;
677;albrecht;552;44;12.545454545454545;
2888;boun;552;24;23.0;
3159;carlton;545;53;10.283018867924529;
1719;aquilino;544;42;12.952380952380953;
7613;hernani;543;39;13.923076923076923;
14653;osiris;543;28;19.392857142857142;
16759;sergey;540;21;25.714285714285715;
4694;dong;539;28;19.25;
10418;lenz;537;25;21.48;
13752;naoto;536;26;20.615384615384617;
13659;nahum;535;39;13.717948717948717;
18750;vinicius;534;38;14.052631578947368;
9905;killy;533;29;18.379310344827587;
13277;monroe;532;22;24.181818181818183;
14302;nordahl;531;24;22.125;
3539;cheng;530;31;17.096774193548388;
8263;itamar;526;31;16.967741935483872;
3483;charlton;525;30;17.5;
4438;diaz;524;37;14.162162162162161;
1615;ante;522;47;11.106382978723405;
16671;seiji;521;52;10.01923076923077;
16756;sergei;520;47;11.063829787234043;
18428;tristane;520;37;14.054054054054054;
13921;nayef;519;27;19.22222222222222;
4844;eberhard;517;37;13.972972972972974;
14452;o'neill;516;30;17.2;
15225;polly;514;49;10.489795918367347;
4801;duong;514;21;24.476190476190474;
13064;milosz;512;22;23.272727272727273;
9037;johnnie;510;35;14.571428571428571;
14100;newman;508;36;14.11111111111111;
14094;neville;508;32;15.875;
15376;radu;507;47;10.787234042553191;
19582;zeev;503;38;13.236842105263158;
14142;nicolaï;502;30;16.733333333333334;
8856;jenson;500;41;12.195121951219512;
9514;karl-heinz;497;22;22.59090909090909;
15948;romero;496;42;11.80952380952381;
6328;fredrik;496;38;13.052631578947368;
14176;nikol;496;25;19.84;
10959;loyola;491;37;13.27027027027027;
6025;ferrer;487;44;11.068181818181818;
10355;lebrun;487;22;22.136363636363637;
17532;stavros;484;21;23.047619047619047;
6665;gideon;482;46;10.478260869565217;
676;albion;481;44;10.931818181818182;
5855;fath;481;30;16.033333333333335;
2689;berthier;475;27;17.59259259259259;
10408;lennart;474;26;18.23076923076923;
11216;léonid;472;33;14.303030303030303;
15079;pierluigi;471;27;17.444444444444443;
8498;janusz;471;24;19.625;
18637;vassilis;462;39;11.846153846153847;
13101;mino;462;28;16.5;
9997;kostas;456;20;22.8;
3203;carsten;451;36;12.527777777777779;
952;alvar;450;20;22.5;
11922;marie-arlette;449;44;10.204545454545455;
2782;birgit;448;34;13.176470588235293;
9658;keaton;442;41;10.78048780487805;
2020;astier;442;23;19.217391304347824;
8596;jean-bart;442;20;22.1;
4444;didi;441;24;18.375;
15044;philippe-jean;440;23;19.130434782608695;
15540;rashid;436;36;12.11111111111111;
6597;gert;436;25;17.44;
13016;mikis;427;22;19.40909090909091;
2629;benoîte;421;42;10.023809523809524;
12419;mata;417;36;11.583333333333334;
10825;lotta;414;22;18.818181818181817;
7550;henri-georges;410;40;10.25;
6599;gertrud;410;35;11.714285714285714;
18720;vikash;409;40;10.225;
9890;kiefer;407;32;12.71875;
11208;léon-paul;403;32;12.59375;
17477;soumaïla;403;30;13.433333333333334;
16305;saint-marc;403;24;16.791666666666668;x
2835;boni;400;22;18.181818181818183;
4261;dayton;399;33;12.090909090909092;
18811;vlado;399;25;15.96;
2682;berry;398;24;16.583333333333332;
17949;tansu;395;21;18.80952380952381;
15857;robben;394;27;14.592592592592593;
8930;jimmie;392;35;11.2;
3925;coulibaly;392;20;19.6;
1202;anastasio;390;33;11.818181818181818;
9039;johns;390;28;13.928571428571429;
18335;todor;388;23;16.869565217391305;
2566;belaïd;385;38;10.131578947368421;
7470;heiko;381;24;15.875;
7961;ilie;378;32;11.8125;
5674;ezer;375;24;15.625;
13864;nate;374;25;14.96;
16141;ryszard;371;30;12.366666666666667;
5542;estée;367;24;15.291666666666666;
300;achoura;361;24;15.041666666666666;
17498;spartacus;359;26;13.807692307692308;
10727;lohengrin;359;22;16.318181818181817;x
15246;prem;345;24;14.375;
6330;freeman;341;21;16.238095238095237;
16117;ruggero;335;27;12.407407407407407;
3124;cantor;333;28;11.892857142857142;
6938;guillemin;333;28;11.892857142857142;
15759;rich;332;22;15.090909090909092;
704;aldrin;331;22;15.045454545454545;
15234;porfirio;330;29;11.379310344827585;
16111;rudyard;324;20;16.2;
19024;wolff;318;22;14.454545454545455;
11362;magellan;316;27;11.703703703703704;
3304;cellou;315;25;12.6;
2093;audin;313;25;12.52;
6764;gleb;310;27;11.481481481481481;
250;abidine;310;23;13.478260869565217;
15108;pierre-christian;307;27;11.37037037037037;
15387;rafal;307;22;13.954545454545455;
7710;homer;306;24;12.75;
876;allaoui;305;25;12.2;
17093;sigourney;304;26;11.692307692307692;
488;agrippine;303;22;13.772727272727273;
5413;erez;302;29;10.413793103448276;
18474;turquoise;300;25;12.0;
11512;makoto;297;21;14.142857142857142;
10097;lachlan;294;20;14.7;
2633;benvenuto;293;21;13.952380952380953;
17008;shinji;292;29;10.068965517241379;
664;alberti;287;20;14.35;
14807;palmiro;284;21;13.523809523809524;
15758;ricci;282;22;12.818181818181818;
393;adler;282;21;13.428571428571429;
12807;mendes;282;21;13.428571428571429;
7435;haïder;276;25;11.04;
13322;morten;276;20;13.8;
2080;atys;273;25;10.92;
10292;laurin;271;20;13.55;
4324;demy;263;24;10.958333333333334;
18555;vahid;260;22;11.818181818181818;
4452;dietmar;258;20;12.9;
17913;tamas;254;20;12.7;
16299;saint-hubert;251;22;11.409090909090908;x
17074;siegmund;250;21;11.904761904761905;
11182;lætitia;247;20;12.35;
17160;simonet;246;21;11.714285714285714;
9230;judit;242;22;11.0;
7208;halley;241;21;11.476190476190476;
6166;florio;240;21;11.428571428571429;
8554;jay-z;237;20;11.85;X
1275;andris;236;23;10.26086956521739;
1067;ambrose;235;20;11.75;
3895;cornel;229;21;10.904761904761905;
2485;bartolomé;228;22;10.363636363636363;
782;alfons;225;21;10.714285714285714;
18624;varda;222;21;10.571428571428571;x
17355;solon;205;20;10.25;
4489;dini;203;20;10.15;